"","Query","Match","HMDB","PubChem","KEGG","SMILES","Comment","CAS.SMPDB","CAS.HMDB"
"29","dGMP","2'-Deoxyguanosine 5'-monophosphate","HMDB0001044",65059,"C00362","C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2NC(=NC3=O)N)COP(=O)(O)O)O",1,"902-04-5","902-04-5"
"30","Folic acid","Folic acid","HMDB0000121",6037,"C00504","C1=CC(=CC=C1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)N=C(N3)N",1,"59-30-3","59-30-3"
"31","Fructose 6-phosphate","Fructose 6-phosphate","HMDB0000124",69507,"C00085","C([C@H]([C@H]([C@@H](C(=O)CO)O)O)O)OP(=O)(O)O",1,"643-13-0","643-13-0"
"32","Fructose 1,6-bisphosphate","Fructose 1,6-bisphosphate","HMDB0001058",445557,"C00354","C([C@@H]1[C@H]([C@@H](C(O1)(COP(=O)(O)O)O)O)O)OP(=O)(O)O",1,"488-69-7","34693-15-7"
"33","Fumarate","Fumaric acid","HMDB0000134",444972,"C00122","C(=C/C(=O)O)\C(=O)O",1,"110-17-8","110-17-8"
"34","GABA","Gamma-Aminobutyric acid","HMDB0000112",223130,"C00334","C(CC(=O)O)CN",1,"56-12-2","56-12-2"
"35","GDP","Guanosine diphosphate","HMDB0001201",8977,"C00035","C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)O)O)O)NC(=NC2=O)N",1,"146-91-8","146-91-8"
"36","Glucose","D-Glucose","HMDB0000122",5793,"C00092","C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O",1,"2280-44-6","492-61-5"
"37","Glucose 6-phosphate","Glucose 6-phosphate","HMDB0001401",5958,"C00092","C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)OP(=O)(O)O",1,"56-73-5","56-73-5"
"38","Glutathionesulfonic acid",NA,NA,NA,NA,NA,0,NA,NA
"39","D-Glyceraldehyde 3-phosphate","D-Glyceraldehyde 3-phosphate","HMDB0001112",729,"C00118","C(C(C=O)O)OP(=O)(O)O",1,"591-59-3","591-57-1"
"40","Glycine","Glycine","HMDB0000123",750,"C00037","C(C(=O)O)N",1,"56-40-6","56-40-6"
"41","GMP","Guanosine monophosphate","HMDB0001397",6804,"C00144","C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)NC(=NC2=O)N",1,"85-32-5","85-32-5"
"42","L-Alanine","L-Alanine","HMDB0000161",5950,"C00041","C[C@@H](C(=O)O)N",1,"56-41-7","56-41-7"
"43","L-Arginine","L-Arginine","HMDB0000517",6322,"C00062","C(C[C@@H](C(=O)O)N)CN=C(N)N",1,"74-79-3","74-79-3"
"44","L-Asparagine","L-Asparagine","HMDB0000168",6267,"C00152","C([C@@H](C(=O)O)N)C(=O)N",1,"70-47-3","70-47-3"
"45","L-Aspartic acid","L-Aspartic acid","HMDB0000191",5960,"C00049","C([C@@H](C(=O)O)N)C(=O)O",1,"56-84-8","56-84-8"
"46","L-Carnitine","L-Carnitine","HMDB0000062",2724480,"C00318","C[N+](C)(C)C[C@H](CC(=O)[O-])O",1,"541-15-1","541-15-1"
"47","L-Cysteine","L-Cysteine","HMDB0000574",5862,"C00097","C([C@@H](C(=O)O)N)S",1,"52-90-4","52-90-4"
"48","L-Cystine","L-Cystine","HMDB0000192",67678,"C00491","C([C@@H](C(=O)O)N)SSC[C@@H](C(=O)O)N",1,NA,"56-89-3"
"49","L-Glutamic acid","L-Glutamic acid","HMDB0000148",33032,"C00025","C(CC(=O)O)[C@@H](C(=O)O)N",1,"56-86-0","56-86-0"
